timestamp,metric
2021-02-19,6036.701599
2021-02-20,6036.701599
2021-02-21,6036.701599
2021-02-22,8288.62
2021-02-23,9320.01
2021-02-24,9647.097
2021-02-25,10064.1383
2021-02-26,10215.9033
2021-02-27,10215.9033
2021-02-28,10215.9033
2021-03-01,10673.7143
2021-03-02,11141.2363
2021-03-03,11294.1123
2021-03-04,11352.1643
2021-03-05,11445.9003
2021-03-06,11445.9003
2021-03-07,11445.9003
2021-03-08,11711.4168
2021-03-09,12158.3006
2021-03-10,12467.6446
2021-03-11,12677.7376
2021-03-12,13128.5631
2021-03-13,13128.5631
2021-03-14,13128.5631
2021-03-15,13564.9398
2021-03-16,13595.1798
2021-03-17,13783.5062
2021-03-18,14086.295
2021-03-19,14195.3828
2021-03-20,14195.3828
2021-03-21,14195.3828
2021-03-22,14409.297
2021-03-23,14659.9895
2021-03-24,14693.8999
2021-03-25,14742.9899
2021-03-26,14889.6674
2021-03-27,14889.6674
2021-03-28,14889.6674
2021-03-29,15230.9927
2021-03-30,15596.1967
2021-03-31,16174.7647
2021-04-01,16462.3597
2021-04-02,16462.3597
2021-04-03,16462.3597
2021-04-04,16462.3597
2021-04-05,16709.9567
2021-04-06,16826.8797
2021-04-07,16823.2237
2021-04-08,16866.6717
2021-04-09,17013.2427
2021-04-10,17013.2427
2021-04-11,17013.2427
2021-04-12,17098.5538
2021-04-13,17493.5508
2021-04-14,17841.3648
2021-04-15,18330.1788
2021-04-16,18497.3408
2021-04-17,18497.3408
2021-04-18,18497.3408
2021-04-19,18552.9648
2021-04-20,18498.3508
2021-04-21,18524.2348
2021-04-22,18581.4248
2021-04-23,18600.0928
2021-04-24,18600.0928
2021-04-25,18600.0928
2021-04-26,18577.5278
2021-04-27,18684.9838
2021-04-28,18825.7338
2021-04-29,18989.6088
2021-04-30,19022.312798
2021-05-01,19022.312798
2021-05-02,19022.312798
2021-05-03,19093.7078
2021-05-04,19052.6378
2021-05-05,19052.7558
2021-05-06,18965.4848
2021-05-07,18899.1948
2021-05-08,18899.1948
2021-05-09,18899.1948
2021-05-10,18686.3428
2021-05-11,18714.6098
2021-05-12,18729.0188
2021-05-13,17835.4098
2021-05-14,17668.5738
2021-05-15,17668.5738
2021-05-16,17668.5738
2021-05-17,17727.217799
2021-05-18,17702.8808
2021-05-19,17850.5088
2021-05-20,17955.6008
2021-05-21,18321.103798
2021-05-22,18321.103798
2021-05-23,18321.103798
2021-05-24,18321.103798
2021-05-25,18749.461799
2021-05-26,18774.8538
2021-05-27,19024.9998
2021-05-28,19161.7898
2021-05-29,19161.7898
2021-05-30,19161.7898
2021-05-31,19161.7898
2021-06-01,19450.3998
2021-06-02,19393.9078
2021-06-03,19374.6168
2021-06-04,19407.6378
2021-06-05,19407.6378
2021-06-06,19407.6378
2021-06-07,19508.6348
2021-06-08,19662.0978
2021-06-09,19655.8308
2021-06-10,19692.1488
2021-06-11,19692.1488
2021-06-12,19692.1488
2021-06-13,19692.1488
2021-06-14,19745.7848
2021-06-15,19800.7308
2021-06-16,19912.7598
2021-06-17,20020.7098
2021-06-18,20221.0588
2021-06-19,20221.0588
2021-06-20,20221.0588
2021-06-21,20729.3008
2021-06-22,21000.6738
2021-06-23,21114.0438
2021-06-24,21184.6388
2021-06-25,21597.3588
2021-06-26,21597.3588
2021-06-27,21597.3588
2021-06-28,21941.6708
2021-06-29,22069.6738
2021-06-30,22190.0958
2021-07-01,22190.0958
2021-07-02,22299.8938
2021-07-03,22299.8938
2021-07-04,22299.8938
2021-07-05,22303.6158
2021-07-06,22411.2018
2021-07-07,22367.5338
2021-07-08,22473.3218
2021-07-09,22469.3118
2021-07-10,22469.3118
2021-07-11,22469.3118
2021-07-12,22464.8858
2021-07-13,22485.0998
2021-07-14,22503.8418
2021-07-15,22592.551798
2021-07-16,22501.785798
2021-07-17,22501.785798
2021-07-18,22501.785798
2021-07-19,22312.719799
2021-07-20,22279.095798
2021-07-21,22410.371799
2021-07-22,22439.489998
2021-07-23,22391.349099
2021-07-24,22391.349099
2021-07-25,22391.349099
2021-07-26,22318.295098
2021-07-27,22021.275098
2021-07-28,22024.135098
2021-07-29,22089.088098
2021-07-30,22153.282098
2021-07-31,22153.282098
2021-08-01,22153.282098
2021-08-02,22153.282098
2021-08-03,22119.137098
2021-08-04,22032.126099
2021-08-05,22060.207399
2021-08-06,22049.272398
2021-08-07,22049.272398
2021-08-08,22049.272398
2021-08-09,22008.332398
2021-08-10,21933.003398
2021-08-11,21967.108399
2021-08-12,21996.104398
2021-08-13,22050.588398
2021-08-14,22050.588398
2021-08-15,22050.588398
2021-08-16,22018.473798
2021-08-17,22003.561799
2021-08-18,22058.453799
2021-08-19,22040.060798
2021-08-20,22046.378798
2021-08-21,22046.378798
2021-08-22,22046.378798
2021-08-23,22089.507799
2021-08-24,22100.942799
2021-08-25,22066.539798
2021-08-26,22078.604799
2021-08-27,22089.707798
2021-08-28,22089.707798
2021-08-29,22089.707798
2021-08-30,22131.319798
2021-08-31,22077.359798
2021-09-01,22085.911798
2021-09-02,22062.534798
2021-09-03,21956.226798
2021-09-04,21956.226798
2021-09-05,21956.226798
2021-09-06,21956.226798
2021-09-07,21302.899898
2021-09-08,21206.548898
2021-09-09,21135.804898
2021-09-10,21021.887898
2021-09-11,21021.887898
2021-09-12,21021.887898
2021-09-13,21016.914898
2021-09-14,20944.659899
2021-09-15,20928.516898
2021-09-16,20872.133899
2021-09-17,20872.133898
2021-09-18,20872.133898
2021-09-19,20872.133898
2021-09-20,21106.875399
2021-09-21,21106.875399
