timestamp,metric
2021-02-19,421800000
2021-02-20,421800000
2021-02-21,421800000
2021-02-22,564000000
2021-02-23,564000000
2021-02-24,594000000
2021-02-25,624000000
2021-02-26,602000000
2021-02-27,602000000
2021-02-28,602000000
2021-03-01,657000000
2021-03-02,669000000
2021-03-03,722000000
2021-03-04,693000000
2021-03-05,713000000
2021-03-06,713000000
2021-03-07,713000000
2021-03-08,769000000
2021-03-09,836000000
2021-03-10,885000000
2021-03-11,913000000
2021-03-12,930000000
2021-03-13,930000000
2021-03-14,930000000
2021-03-15,959000000
2021-03-16,944000000
2021-03-17,991000000
2021-03-18,1000000000
2021-03-19,1040000000
2021-03-20,1040000000
2021-03-21,1040000000
2021-03-22,1000000000
2021-03-23,1010000000
2021-03-24,1010000000
2021-03-25,968850000
2021-03-26,1010000000
2021-03-27,1010000000
2021-03-28,1010000000
2021-03-29,1100000000
2021-03-30,1160000000
2021-03-31,1190000000
2021-04-01,1220000000
2021-04-02,1220000000
2021-04-03,1220000000
2021-04-04,1220000000
2021-04-05,1240000000
2021-04-06,1230000000
2021-04-07,1190000000
2021-04-08,1220000000
2021-04-09,1240000000
2021-04-10,1240000000
2021-04-11,1240000000
2021-04-12,1290000000
2021-04-13,1380000000
2021-04-14,1110000000
2021-04-15,1160000000
2021-04-16,1140000000
2021-04-17,1140000000
2021-04-18,1140000000
2021-04-19,1040000000
2021-04-20,1050000000
2021-04-21,1030000000
2021-04-22,983050000
2021-04-23,948020000
2021-04-24,948020000
2021-04-25,948020000
2021-04-26,1010000000
2021-04-27,1030000000
2021-04-28,1050000000
2021-04-29,1000000000
2021-04-30,1080000000
2021-05-01,1080000000
2021-05-02,1080000000
2021-05-03,1100000000
2021-05-04,1040000000
2021-05-05,1090000000
2021-05-06,1070000000
2021-05-07,1090000000
2021-05-08,1090000000
2021-05-09,1090000000
2021-05-10,1040000000
2021-05-11,1060000000
2021-05-12,1000000000
2021-05-13,866930000
2021-05-14,886620000
2021-05-15,886620000
2021-05-16,886620000
2021-05-17,784400000
2021-05-18,766800000
2021-05-19,703700000
2021-05-20,724100000
2021-05-21,661500000
2021-05-22,661500000
2021-05-23,661500000
2021-05-24,661500000
2021-05-25,700000000
2021-05-26,722400000
2021-05-27,738700000
2021-05-28,685800000
2021-05-29,685800000
2021-05-30,685800000
2021-05-31,706500000
2021-06-01,699400000
2021-06-02,734700000
2021-06-03,747200000
2021-06-04,714600000
2021-06-05,714600000
2021-06-06,714600000
2021-06-07,695100000
2021-06-08,646500000
2021-06-09,712600000
2021-06-10,722600000
2021-06-11,733400000
2021-06-12,733400000
2021-06-13,733400000
2021-06-14,783600000
2021-06-15,790300000
2021-06-16,768300000
2021-06-17,752300000
2021-06-18,711000000
2021-06-19,711000000
2021-06-20,711000000
2021-06-21,672900000
2021-06-22,678700000
2021-06-23,691900000
2021-06-24,738600000
2021-06-25,697600000
2021-06-26,697600000
2021-06-27,697600000
2021-06-28,756400000
2021-06-29,803800000
2021-06-30,770700000
2021-07-01,770700000
2021-07-02,743300000
2021-07-03,743300000
2021-07-04,743300000
2021-07-05,761000000
2021-07-06,760800000
2021-07-07,772900000
2021-07-08,741800000
2021-07-09,752400000
2021-07-10,752400000
2021-07-11,752400000
2021-07-12,738000000
2021-07-13,725900000
2021-07-14,736700000
2021-07-15,712100000
2021-07-16,717300000
2021-07-17,717300000
2021-07-18,717300000
2021-07-19,683600000
2021-07-20,662200000
2021-07-21,708500000
2021-07-22,726600000
2021-07-23,722500000
2021-07-24,722500000
2021-07-25,722500000
2021-07-26,878700000
2021-07-27,832000000
2021-07-28,889400000
2021-07-29,877800000
2021-07-30,883600000
2021-07-31,883600000
2021-08-01,883600000
2021-08-02,883600000
2021-08-03,840400000
2021-08-04,875700000
2021-08-05,897900000
2021-08-06,900000000
2021-08-07,900000000
2021-08-08,900000000
2021-08-09,1000000000
2021-08-10,1000000000
2021-08-11,1000000000
2021-08-12,1000000000
2021-08-13,1000000000
2021-08-14,1000000000
2021-08-15,1000000000
2021-08-16,1000000000
2021-08-17,1000000000
2021-08-18,1000000000
2021-08-19,1000000000
2021-08-20,1100000000
2021-08-21,1100000000
2021-08-22,1100000000
2021-08-23,1100000000
2021-08-24,1100000000
2021-08-25,1100000000
2021-08-26,1000000000
2021-08-27,1100000000
2021-08-28,1100000000
2021-08-29,1100000000
2021-08-30,1100000000
2021-08-31,1000000000
2021-09-01,1100000000
2021-09-02,1100000000
2021-09-03,1100000000
2021-09-04,1100000000
2021-09-05,1100000000
2021-09-06,1100000000
2021-09-07,1000000000
2021-09-08,1000000000
2021-09-09,1000000000
2021-09-10,1000000000
2021-09-11,1000000000
2021-09-12,1000000000
2021-09-13,900000000
2021-09-14,1000000000
2021-09-15,1000000000
2021-09-16,1000000000
2021-09-17,990310000
2021-09-18,990310000
2021-09-19,990310000
2021-09-20,885100000
2021-09-21,885060000
2021-09-22,1000000000
2021-09-23,958440000
2021-09-24,900000000
2021-09-25,900000000
2021-09-26,900000000
2021-09-27,900000000
2021-09-28,891100000
2021-09-29,891140000
2021-09-30,900000000
2021-10-01,1000000000
2021-10-02,1000000000
2021-10-03,1000000000
2021-10-04,1100000000
2021-10-05,1100000000
2021-10-06,1200000000
2021-10-07,1200000000
2021-10-08,1200000000
2021-10-09,1200000000
2021-10-10,1200000000
2021-10-11,1200000000
2021-10-12,1200000000
2021-10-13,1300000000
2021-10-14,1260000000
2021-10-15,1300000000
2021-10-16,1300000000
2021-10-17,1300000000
2021-10-18,1300000000
2021-10-19,1400000000
2021-10-20,1500000000
2021-10-21,1400000000
2021-10-22,1500000000
2021-10-23,1500000000
2021-10-24,1500000000
2021-10-25,1470000000
2021-10-26,1500000000
2021-10-27,1400000000
2021-10-28,1500000000
2021-10-29,1500000000
2021-10-30,1500000000
2021-10-31,1500000000
2021-11-01,1500000000
2021-11-02,1500000000
2021-11-03,1500000000
2021-11-04,1500000000
2021-11-05,1500000000
2021-11-06,1500000000
2021-11-07,1500000000
2021-11-08,1600000000
2021-11-09,1600000000
2021-11-10,1600000000
2021-11-11,1570000000
2021-11-12,1600000000
2021-11-13,1600000000
2021-11-14,1600000000
2021-11-15,1600000000
2021-11-16,1500000000
2021-11-17,1500000000
2021-11-18,1400000000
2021-11-19,1400000000
2021-11-20,1400000000
2021-11-21,1400000000
2021-11-22,1400000000
2021-11-23,1400000000
2021-11-24,1400000000
2021-11-25,1400000000
2021-11-26,1400000000
2021-11-27,1400000000
2021-11-28,1400000000
2021-11-29,1430000000
2021-11-30,1400000000
2021-12-01,1400000000
2021-12-02,1400000000
2021-12-03,1400000000
2021-12-04,1400000000
2021-12-05,1400000000
2021-12-06,1300000000
2021-12-07,1400000000
2021-12-08,1400000000
2021-12-09,1400000000
2021-12-10,1400000000
2021-12-11,1400000000
2021-12-12,1400000000
2021-12-13,1400000000
2021-12-14,1500000000
2021-12-15,1500000000
2021-12-16,1400000000
2021-12-17,1400000000
2021-12-18,1400000000
2021-12-19,1400000000
2021-12-20,1400000000
2021-12-21,1400000000
2021-12-22,1500000000
2021-12-23,1500000000
2021-12-24,1530000000
2021-12-25,1530000000
2021-12-26,1530000000
2021-12-27,1530000000
2021-12-28,1530000000
2021-12-29,1410000000
2021-12-30,1400000000
2021-12-31,1400000000
2022-01-01,1400000000
2022-01-02,1400000000
2022-01-03,1400000000
2022-01-04,1400000000
2022-01-05,1300000000
2022-01-06,1300000000
2022-01-07,1200000000
2022-01-08,1200000000
2022-01-09,1200000000
2022-01-10,1200000000
2022-01-11,1300000000
2022-01-12,1300000000
2022-01-13,1300000000
2022-01-14,1300000000
2022-01-15,1300000000
2022-01-16,1300000000
2022-01-17,1200000000
2022-01-18,1200000000
2022-01-19,1200000000
2022-01-20,1300000000
2022-01-21,1100000000
2022-01-22,1100000000
2022-01-23,1100000000
2022-01-24,1100000000
2022-01-25,1100000000
2022-01-26,1070000000
2022-01-27,1000000000
2022-01-28,1100000000
2022-01-29,1100000000
2022-01-30,1100000000
2022-01-31,1100000000
2022-02-01,1200000000
2022-02-02,1200000000
2022-02-03,1100000000
2022-02-04,1300000000
2022-02-05,1300000000
2022-02-06,1300000000
2022-02-07,1270000000
2022-02-08,1300000000
2022-02-09,1300000000
2022-02-10,1300000000
2022-02-11,1300000000
2022-02-12,1300000000
2022-02-13,1300000000
2022-02-14,1300000000
2022-02-15,1300000000
2022-02-16,1300000000
2022-02-17,1300000000
2022-02-18,1300000000
2022-02-19,1300000000
2022-02-20,1300000000
2022-02-21,1300000000
