timestamp,Close,High,Low,Open,Volume,metric
2011-08-18,10.9,10.9,10.9,10.9,0.48990826,429.610645028197
2011-08-19,11.69,11.85,11.15,11.85,1.92657814,468.317920620073
2011-08-20,11.7,11.7,11.7,11.7,0.08547009,437.113794573092
2011-08-21,11.7,11.7,11.7,11.7,0.08547009,426.432796057014
2011-08-22,11.7,11.7,11.7,11.7,0.02863249,455.945592466649
2011-08-23,11.7,11.7,11.7,11.7,0.0,443.445240101095
2011-08-24,10.5,11.5,10.5,11.5,2.35652174,432.374809899074
2011-08-25,10.0,10.0,10.0,10.0,1.1,441.678300028145
2011-08-26,10.0,10.0,10.0,10.0,0.0,459.135688754468
2011-08-27,10.0,10.0,10.0,10.0,0.0,482.895496073088
2011-08-28,10.0,10.0,10.0,10.0,0.0,444.443815092271
2011-08-29,10.0,10.0,10.0,10.0,0.0,426.839240824535
2011-08-30,8.0,8.0,8.0,8.0,1.0,410.653303734657
2011-08-31,8.0,8.0,8.0,8.0,0.0,409.207370043436
2011-09-01,8.22,8.31,5.25,8.0,164.48,428.175431156346
2011-09-02,8.88,8.88,8.0,8.12,79.76,411.726055312954
2011-09-03,8.88,8.88,8.88,8.88,0.0,423.218512110727
2011-09-04,8.89,8.89,8.89,8.89,0.20022497,750.330151600223
2011-09-05,8.89,8.89,8.89,8.89,0.0,442.021211680954
2011-09-06,8.0,8.0,8.0,8.0,21.0,449.54421148587
2011-09-07,8.5,8.5,8.5,8.5,3.0,429.873454127121
2011-09-08,7.4,7.98,7.4,7.98,6.86,436.651067839196
2011-09-09,7.4,7.4,7.4,7.4,0.0,537.289808917198
2011-09-10,7.4,7.4,7.4,7.4,0.0,488.096757679181
2011-09-11,7.4,7.4,7.4,7.4,0.0,458.285849952518
2011-09-12,7.4,7.4,7.4,7.4,0.0,473.112387457312
2011-09-13,5.97,6.0,5.65,5.8,58.37138238,417.765093304061
2011-09-14,5.53,5.72,5.52,5.58,61.14598362,427.324578790882
2011-09-15,5.13,5.24,5.0,5.12,80.1407952,444.020259575814
2011-09-16,4.85,4.87,4.8,4.82,39.9140068,427.420197044335
