timestamp,Close,High,Low,Open,Volume,metric
2011-08-18,10.9,10.9,10.9,10.9,0.48990826,1.00522721512596
2011-08-19,11.69,11.85,11.15,11.85,1.92657814,1.00338105051652
2011-08-20,11.7,11.7,11.7,11.7,0.08547009,1.01121971187958
2011-08-21,11.7,11.7,11.7,11.7,0.08547009,0.9974403885710571
2011-08-22,11.7,11.7,11.7,11.7,0.02863249,1.00041542048919
2011-08-23,11.7,11.7,11.7,11.7,0.0,0.9937596932593561
2011-08-24,10.5,11.5,10.5,11.5,2.35652174,0.9978592222860381
2011-08-25,10.0,10.0,10.0,10.0,1.1,1.13306008194923
2011-08-26,10.0,10.0,10.0,10.0,0.0,1.0217296611421
2011-08-27,10.0,10.0,10.0,10.0,0.0,0.8971704122957871
2011-08-28,10.0,10.0,10.0,10.0,0.0,1.00465821075709
2011-08-29,10.0,10.0,10.0,10.0,0.0,1.01711006084344
2011-08-30,8.0,8.0,8.0,8.0,1.0,0.9827159923573531
2011-08-31,8.0,8.0,8.0,8.0,0.0,0.981709721371759
2011-09-01,8.22,8.31,5.25,8.0,164.48,0.9724559793231311
2011-09-02,8.88,8.88,8.0,8.12,79.76,1.00286774556199
2011-09-03,8.88,8.88,8.88,8.88,0.0,0.99525910519132
2011-09-04,8.89,8.89,8.89,8.89,0.20022497,0.9974198129387841
2011-09-05,8.89,8.89,8.89,8.89,0.0,0.9954126735121651
2011-09-06,8.0,8.0,8.0,8.0,21.0,0.9922502105116511
2011-09-07,8.5,8.5,8.5,8.5,3.0,0.980323238476505
2011-09-08,7.4,7.98,7.4,7.98,6.86,0.9456988007163021
2011-09-09,7.4,7.4,7.4,7.4,0.0,0.935038219709003
2011-09-10,7.4,7.4,7.4,7.4,0.0,0.947360226179596
2011-09-11,7.4,7.4,7.4,7.4,0.0,0.765702087550539
2011-09-12,7.4,7.4,7.4,7.4,0.0,0.972658229432638
2011-09-13,5.97,6.0,5.65,5.8,58.37138238,0.9311131658988341
2011-09-14,5.53,5.72,5.52,5.58,61.14598362,0.9688533831336271
2011-09-15,5.13,5.24,5.0,5.12,80.1407952,0.9493937065291861
2011-09-16,4.85,4.87,4.8,4.82,39.9140068,0.9664201086780481
2011-09-17,4.87,4.87,4.87,4.87,0.3,0.9795304168634871
2011-09-18,4.92,4.92,4.81,4.87,119.8128,0.981822183072625
2011-09-19,4.9,4.9,4.9,4.9,20.0,0.9689939865749461
2011-09-20,5.66,5.66,4.92,4.92,89.28071068,0.9983934920981951
2011-09-21,5.66,5.79,5.66,5.7,17.62932238,0.9982351556697181
2011-09-22,5.72,5.72,5.68,5.68,43.77842238,0.9563022709162691
2011-09-23,5.72,5.72,5.7,5.7,20.68003681,0.98429449875907
2011-09-24,5.68,5.76,5.68,5.7,90.58706633,0.9849272706955491
2011-09-25,6.05,6.05,6.05,6.05,12.22,0.8577349700507121
2011-09-26,4.8,6.06,4.8,6.06,39.57846334,0.9658531194859121
2011-09-27,4.92,4.92,4.85,4.85,24.3545,0.9822526863500981
2011-09-28,4.82,4.91,4.82,4.9,83.0533258,0.9767840039955711
2011-09-29,4.82,4.82,4.81,4.81,46.9645,0.985184736004108
2011-09-30,4.82,4.82,4.82,4.82,0.0,0.9999686867809221
2011-10-01,4.82,4.82,4.82,4.82,0.0,0.968868722279636
2011-10-02,4.82,4.82,4.82,4.82,0.0,0.9636743595959081
2011-10-03,4.87,4.87,4.83,4.85,30.57595,0.9798238501539651
2011-10-04,4.98,5.3,4.8,4.86,142.52162238,0.9841635258934791
2011-10-05,4.92,6.25,4.8,4.92,113.72,0.98129068840842
2011-10-06,4.8,4.99,4.8,4.88,170.84354937,0.985180929647344
2011-10-07,4.61,4.81,4.59,4.8,94.64,0.939262240104721
2011-10-08,3.99,4.57,3.99,4.57,56.0,0.9542304073626131
2011-10-09,3.89,3.89,3.89,3.89,11.0,0.947607154004475
2011-10-10,4.51,4.51,3.99,3.99,132.5,0.9754513177288731
2011-10-11,4.1,4.1,3.98,3.98,78.08,0.90434673339255
2011-10-12,3.93,3.99,3.93,3.95,79.523525,0.9382497434878541
2011-10-13,3.97,3.97,3.93,3.93,109.621766,0.974302695461502
2011-10-14,4.05,4.05,4.05,4.05,96.97751266,0.944198171409766
2011-10-15,4.05,4.05,4.05,4.05,0.0,0.9784522698940231
2011-10-16,4.05,4.05,4.05,4.05,0.0,0.957594713913759
